Post	Caption	date	likeComment	IdFatherComment	IdChildComment	Username
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	12w	0 like	@ra.fa.z	@ra.fa.z	marcelzerbini
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	11w	0 like	#xtina😍😍😍😍😍😍😍😍😍😍😍😍😍	#xtina😍😍😍😍😍😍😍😍😍😍😍😍😍	losvegasoftime
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	10w	0 like	🔥🔥🔥🔥	🔥🔥🔥🔥	voxandoz
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	9w	0 like	Jajaja asi hago mi cara cuando aceleras 🙊 @danielde.avila	Jajaja asi hago mi cara cuando aceleras 🙊 @danielde.avila	fernanda.escareno
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	8w	0 like	@vizzleforshizzle Orgi	@vizzleforshizzle Orgi	valemoxito
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	8w	0 like	@itbehiten us 😂😂😂	@itbehiten us 😂😂😂	str8teneight
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	8w	1 like	@marlenarenae	@marlenarenae	marlongallardo
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	7w	0 like	Que les haga un tema @almightytgc	Que les haga un tema @almightytgc	kevin23d
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	5w	0 like	Love you	Love you	singardeepakjaiswal
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	4w	0 like	@ocampo_juanc	@ocampo_juanc	_the_real_izzy
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	3w	0 like	🔥👍💣	🔥👍💣	siforov
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	3w	0 like	@paniagua_ambar21	@paniagua_ambar21	leeon_mod3l
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	2w	0 like	@felipe_moscatelly	@felipe_moscatelly	laurabfs
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	2w	0 like	Akkakaak	Akkakaak	felipe_moscatelly
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	2w	0 like	@tiffany_goldie she hates it 😂😂😂	@tiffany_goldie she hates it 😂😂😂	kayla_smith7428
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	2w	0 like	"Wow 🤩

💪🏻😎!"	"Wow 🤩

💪🏻😎!"	atlasfitnessclub_ct
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	1w	1 like	@k.streeet	@k.streeet	gotdoughhhh_
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	1w	0 like	@preet829	@preet829	tinanotfey
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	1w	0 like	Make sure you wear a crop top with a flannel over it. lolololol. #tesla #garbage	Make sure you wear a crop top with a flannel over it. lolololol. #tesla #garbage	markmywordz420
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	1w	0 like	"Use my referral link to receive 1,000 free Supercharger miles
https://ts.la/maksood52013"	"Use my referral link to receive 1,000 free Supercharger miles
https://ts.la/maksood52013"	zen_health_fitness
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	1w	1 like	@smasonnn can’t stop doing it	@smasonnn can’t stop doing it	vague_canvas
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	6d	0 like	@lenegjostein	@lenegjostein	oklanden
https://www.instagram.com/p/B166OkVBPJR/	This never gets old - @ the person you do this to most. 🎥 by @mikepfau	6d	0 like	Haha @jeffsroger :)	Haha @jeffsroger :)	arobbins12
